로스웰-01139266-900260-20240527000101, len:178 section2:1
에스티씨라이프-00133317-026220-20240516000143, len:88 section2:7
더스텔라-00307037-065310-20240516000458, len:142 section2:7
일화모직공업-00146719-001590-20240708000027, len:88 section2:7
오가닉티코스메틱-01169434-900300-20240530000881, len:134 section2:1
씨엔티드림-01114559-286000-20240701000094, len:9 section2:1
그린기술투자-00116073-025340-20240516000194, len:175 section2:5
삼영에스앤씨-00405506-361670-20240516001751, len:0 section2:0
럭스피아-00578325-092590-20240312000288, len:0 section2:0
제노텍-00393618-066830-20240315000148, len:0 section2:0
바이넥스-00216027-053030-20240514001067, len:0 section2:0
카페24-00260879-042000-20240514001398, len:0 section2:0
아이케이세미콘-00861100-149010-20240321001880, len:0 section2:0
동원금속-00118008-018500-20240619000177, len:0 section2:0
에스알바이오텍-01187458-270210-20240320000695, len:0 section2:0
모아텍-00241209-033200-20240619000222, len:0 section2:0
굿센-00565215-243870-20240315000701, len:0 section2:0
이지케어텍-00490090-099750-20240619000159, len:0 section2:0
에스에이치엔엘-00245898-050320-20240514000278, len:88 section2:7
대백저축은행-00110060-026970-20240328000531, len:0 section2:0
썬테크-00963000-217320-20240320001438, len:0 section2:0
덱스터-01021949-206560-20240516000856, len:0 section2:0
이구산업-00145464-025820-20240516000734, len:0 section2:0
상신이디피-00480783-091580-20240516000285, len:226 section2:1
한솔제지-01060744-213500-20240513000919, len:0 section2:0
하이비젼시스템-00825959-126700-20240516001382, len:26 section2:1
나눔테크-01117422-244880-20240321000681, len:0 section2:0
지어소프트-00389110-051160-20240514000341, len:9 section2:1
핑거스토리-01584934-417180-20240514000882, len:0 section2:0
유비케어-00220057-032620-20240723000175, len:0 section2:0
일지테크-00146560-019540-20240514000867, len:0 section2:0
엘에이티-01264234-311060-20240320001509, len:0 section2:0
AK홀딩스-00125080-006840-20240514001362, len:0 section2:0
코람코더원리츠-01180118-417310-20240508000550, len:0 section2:0
한일시멘트-01319808-300720-20240516001562, len:0 section2:0
마이크로엔엑스-01206717-448780-20240321000933, len:0 section2:0
에코솔루션-00346966-052510-20240516000342, len:88 section2:7
SK리츠-01535150-395400-20240612000397, len:0 section2:0
타이드-01309069-346010-20240319000037, len:0 section2:0
지슨-00945776-289860-20240311000837, len:0 section2:0
탈로스-01020269-434190-20240320000922, len:22 section2:1
블루탑-00611286-191600-20240321001467, len:0 section2:0
네오티스-00447928-085910-20240516000660, len:0 section2:0
성우전자-00364306-081580-20240516001327, len:0 section2:0
제일기획-00148276-030000-20240516002284, len:9 section2:1
유엑스엔-01396931-337840-20240320001200, len:0 section2:0
지에프씨생명과학-01221752-388610-20240315000493, len:0 section2:0
씨앤에스링크-01116380-245450-20240321000503, len:0 section2:0
한국앤컴퍼니-00160047-000240-20240516001876, len:0 section2:0
CS홀딩스-00149026-000590-20240516002171, len:0 section2:0
피앤텔-00302120-054340-20240514000594, len:283 section2:7
SK시그넷-01188730-260870-20240320001609, len:0 section2:0
비트나인-01381984-357880-20240514000754, len:0 section2:0
원익큐브-00128175-014190-20240516001535, len:0 section2:0
쎄트렉아이-00449254-099320-20240513000688, len:0 section2:0
에이펙스인텍-00832700-207490-20240320000285, len:0 section2:0
나노브릭-01136001-286750-20240513000054, len:0 section2:0
이엠티-00925967-232530-20240319000370, len:0 section2:0
디와이디-01089378-219550-20240516002151, len:0 section2:0
SNT홀딩스-00225159-036530-20240509000290, len:0 section2:0
질경이-01063556-233990-20240321000985, len:0 section2:0
NE능률-00363927-053290-20240514000892, len:0 section2:0
엘리비젼-01119651-276240-20240326000004, len:0 section2:0
안지오랩-01115044-251280-20240320001832, len:0 section2:0
지앤이헬스케어-01188749-299480-20240320000733, len:0 section2:0
대원미디어-00351807-048910-20240513000596, len:0 section2:0
우림피티에스-00567222-101170-20240514001152, len:0 section2:0
바이오프로테크-00669450-199290-20240401002294, len:0 section2:0
켈스-01507722-402420-20240320000440, len:0 section2:0
경보제약-00101664-214390-20240516001741, len:0 section2:0
미래에셋글로벌리츠-01576102-396690-20240618000339, len:0 section2:0
